열1,업소명,소재지,위도,경도
78,꽃,"인천광역시 중구 신포로23번길 9-1,",37.4725047,126.6223375
79,은하수,"인천광역시 중구 개항로 6,",37.4727557,126.6342411
80,향수노래짱,"인천광역시 중구 우현로87번길 23,",37.4746586,126.6307385
81,카리브,"인천광역시 중구 개항로 15,",37.4727557,126.6342411
82,파라다이스,"인천광역시 중구 신도시남로142번길 11-6,",37.4938877,126.4919643
83,두바이 노래클럽,"인천광역시 중구 은하수로29번길 47,",37.4905354,126.5793599
84,차차,"인천광역시 중구 신도시남로142번길 1,",37.4942141,126.4908202
85,보스라운지,"인천광역시 중구 하늘별빛로65번길 7-20,",37.4885452,126.5643283
86,용평소주주점,인천광역시 중구 서해대로 486,37.4299811,126.6141701
87,왕자단란주점,인천광역시 중구 서해대로 460,37.4299811,126.6141701
88,에프엠라이브(FM Live) 단란주점,인천광역시 중구 자유공원남로 1,37.4747313,126.6222363
89,로마영상가요,인천광역시 중구 신포로31번길 22,37.472425,126.6241378
90,로티,인천광역시 중구 신포로27번길 33,37.4727937,126.6225932
91,키스키스단란주점,인천광역시 중구 차이나타운로52번길 11,37.4750509,126.6181762
92,낭만단란주점,인천광역시 중구 서해대로454번길 10-1,37.4659692,126.6359708
93,커플단란주점,인천광역시 중구 월미문화로 51,37.4772659,126.5989588
94,연인단란주점,인천광역시 중구 신포로27번길 24,37.4727937,126.6225932
95,등불,인천광역시 중구 도원로7번길 16,0,0
96,스테이션,인천광역시 중구 신포로27번길 33-1,37.4727937,126.6225932
97,써니7080,"인천광역시 중구 개항로 7-2,",37.4727557,126.6342411
98,파티,"인천광역시 중구 운중로 212,",37.4946336,126.5461556
99,별빛나리,인천광역시 중구 신포로 25-1,37.4698372,126.6235528
100,브이아이피(VIP),"인천광역시 중구 신도시남로150번길 4,",37.4946591,126.4919888
101,낄 단란주점,인천광역시 중구 우현로67번길 33,37.4744416,126.6289786
102,찬스단란주점,인천광역시 중구 신포로 19-9,37.4698372,126.6235528
103,해운대,인천광역시 중구 연안부두로33번길 4,37.454007,126.6054663
104,고고민속주점,인천광역시 중구 서해대로 462-2,37.4299811,126.6141701
105,돌큐 단란주점,인천광역시 중구 축항대로86번길 22,37.4510585,126.6036044
106,쟁반타운,인천광역시 중구 월미문화로 49,37.4772659,126.5989588
107,하나궁,인천광역시 중구 신포로35번길 6,37.4733945,126.6231442
108,비,"인천광역시 중구 영종해안남로321번길 208,",37.44065945,126.4572449
109,나팔바지7080라이브,인천광역시 중구 신포로27번길 16,37.4727937,126.6225932
110,뮤직박스,인천광역시 중구 우현로90번길 20,37.4735518,126.6313363
111,지인,인천광역시 중구 우현로35번길 23,37.470541,126.6262936
112,싱싱단란주점,인천광역시 중구 개항로 14,37.4727557,126.6342411
113,7080너도가수다,인천광역시 중구 우현로39번길 22-1,37.4708945,126.6259498
114,티키타카,인천광역시 중구 개항로 19,37.4727557,126.6342411
115,진7080라이브,인천광역시 중구 제물량로166번길 1-21,37.4708945,126.6259498
116,앤드7080,인천광역시 중구 개항로 9-1,37.4727557,126.6342411
117,재클린,인천광역시 중구 신포로27번길 45,37.4727937,126.6225932
118,오인천7080라이브,인천광역시 중구 우현로90번길 1-4,37.4735518,126.6313363
119,레드7080,"인천광역시 중구 신도시남로150번길 2,",37.4946591,126.4919888
120,노래하는삼치,인천광역시 중구 우현로87번길 25,37.4746586,126.6307385
121,뜨락노래타운,"인천광역시 중구 하늘중앙로195번길 23,",37.4889385,126.5621727
122,정으로,"인천광역시 중구 신도시남로150번길 6,",37.4946591,126.4919888
123,웨이브(wave),인천광역시 중구 우현로83번길 18-1,37.4744673,126.6299953
124,올인 7080 라이브,"인천광역시 중구 신도시남로142번길 17,",37.4940559,126.4927477
